Order_ID,Order_Date,Shipment_ID,Shipment_Date,Tax_Calculated_Date (UTC),Posted_Date,Marketplace,Merchant_ID,Fulfillment,ASIN,SKU,Transaction_Type,Tax_Collection_Model,Tax_Collection_Responsible_Party,Product_Tax_Code,Quantity,Currency,Buyer_Exemption_Code,Buyer_Exemption_Domain,Buyer_Exemption_Certificate_Id,Display_Price,Display_Price_Tax_Inclusive,TaxExclusive_Selling_Price,Total_Tax,Total_Tax_Collected_By_Amazon,Financial_Component,Ship_From_City,Ship_From_State,Ship_From_Country,Ship_From_Postal_Code,Ship_From_Tax_Location_Code,Ship_To_City,Ship_To_State,Ship_To_Country,Ship_To_Postal_Code,Ship_To_Location_Code,Taxed_Location_Code,Tax_Address_Role,Jurisdiction_Level,Jurisdiction_Name,Display_Promo_Amount,Display_Promo_Tax_Inclusive,isPromoApplied,postPromoTaxableBasis,prePromoTaxableBasis,Promo_Amount_Basis,Promo_ID_Domain,promoAmountTax,Promotion_Identifier,Promo_Rule_Reason_Code,Promo_Tax_Price_Type,Tax_Amount,Tax_Amount_Collected_By_Amazon,Taxed_Jurisdiction_Tax_Rate,Tax_Category,Tax_Type,Tax_Calculation_Reason_Code,NonTaxable_Amount,Taxable_Amount
112-9247899-1914637,2024-07-29+00:00,G4ZrrZd3t,2024-08-09+00:00,2024-08-08+17:33:04,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B004TLT1M4,9G-G0I5-R3KO,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,71.95,0.0,71.95,,,OUR_PRICE,OKLAHOMA CITY,OK,US,73159-0003,370270550.0,WEYMOUTH,MA,US,02190-3137,220211110.0,220211110.0,ShipTo,City,NOT APPLICABLE,,,Y,0.0,0.0,-3.6,PromotionIdAndCouponCode,0.0,13313661.0,Self Funded,ReductionInTaxableBasis,,0.0,0.0,Tax,,ZeroRated,68.35,0.0
112-9247899-1914637,2024-07-29+00:00,G4ZrrZd3t,2024-08-09+00:00,2024-08-08+17:33:04,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B004TLT1M4,9G-G0I5-R3KO,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,71.95,0.0,71.95,,,OUR_PRICE,OKLAHOMA CITY,OK,US,73159-0003,370270550.0,WEYMOUTH,MA,US,02190-3137,220211110.0,220211110.0,ShipTo,County,NOT APPLICABLE,,,Y,0.0,0.0,-3.6,PromotionIdAndCouponCode,0.0,13313661.0,Self Funded,ReductionInTaxableBasis,,0.0,0.0,Tax,,ZeroRated,68.35,0.0
112-9247899-1914637,2024-07-29+00:00,G4ZrrZd3t,2024-08-09+00:00,2024-08-08+17:33:04,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B004TLT1M4,9G-G0I5-R3KO,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,71.95,0.0,71.95,,,OUR_PRICE,OKLAHOMA CITY,OK,US,73159-0003,370270550.0,WEYMOUTH,MA,US,02190-3137,220211110.0,220211110.0,ShipTo,District,NOT APPLICABLE,,,Y,0.0,0.0,-3.6,PromotionIdAndCouponCode,0.0,13313661.0,Self Funded,ReductionInTaxableBasis,,0.0,0.0,Tax,,ZeroRated,68.35,0.0
112-3973303-2749011,2024-07-30+00:00,GvCNXsd2t,2024-08-09+00:00,2024-08-09+04:22:57,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B004TLT1M4,9G-G0I5-R3KO,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,71.95,0.0,71.95,0.0,5.9,OUR_PRICE,OKLAHOMA CITY,OK,US,73159-0003,370270550.0,HUNTINGTON,NY,US,11743,331030000.0,331030000.0,ShipTo,State,NY,,,Y,0.0,0.0,-3.6,PromotionIdAndCouponCode,0.0,13313661.0,Self Funded,ReductionInTaxableBasis,,2.73,0.04,Tax,Sales and Compensating Use Tax,Taxable,0.0,68.35
112-3973303-2749011,2024-07-30+00:00,GvCNXsd2t,2024-08-09+00:00,2024-08-09+04:22:57,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B004TLT1M4,9G-G0I5-R3KO,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,71.95,0.0,71.95,,,OUR_PRICE,OKLAHOMA CITY,OK,US,73159-0003,370270550.0,HUNTINGTON,NY,US,11743,331030000.0,331030000.0,ShipTo,City,NOT APPLICABLE,,,Y,0.0,0.0,-3.6,PromotionIdAndCouponCode,0.0,13313661.0,Self Funded,ReductionInTaxableBasis,,0.0,0.0,Tax,,ZeroRated,68.35,0.0
112-3973303-2749011,2024-07-30+00:00,GvCNXsd2t,2024-08-09+00:00,2024-08-09+04:22:57,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B004TLT1M4,9G-G0I5-R3KO,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,71.95,0.0,71.95,,,OUR_PRICE,OKLAHOMA CITY,OK,US,73159-0003,370270550.0,HUNTINGTON,NY,US,11743,331030000.0,331030000.0,ShipTo,County,SUFFOLK,,,Y,0.0,0.0,-3.6,PromotionIdAndCouponCode,0.0,13313661.0,Self Funded,ReductionInTaxableBasis,,2.91,0.0425,Tax,Local Sales and Use Tax,Taxable,0.0,68.35
112-3973303-2749011,2024-07-30+00:00,GvCNXsd2t,2024-08-09+00:00,2024-08-09+04:22:57,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B004TLT1M4,9G-G0I5-R3KO,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,71.95,0.0,71.95,,,OUR_PRICE,OKLAHOMA CITY,OK,US,73159-0003,370270550.0,HUNTINGTON,NY,US,11743,331030000.0,331030000.0,ShipTo,District,METROPOLITAN COMMUTER TRANSPORTATION DISTRICT,,,Y,0.0,0.0,-3.6,PromotionIdAndCouponCode,0.0,13313661.0,Self Funded,ReductionInTaxableBasis,,0.26,0.00375,Tax,Metropolitan Commuter Transportation District,Taxable,0.0,68.35
111-8263501-7677044,2024-08-07+00:00,GfrPqDnMt,2024-08-09+00:00,2024-08-07+18:55:40,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B004TLT1M4,9G-G0I5-R3KO,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,71.95,0.0,71.95,0.0,6.48,OUR_PRICE,SAN DIEGO,CA,US,92154-5722,50730000.0,CHARLESTON,SC,US,29412-2024,410190000.0,410190000.0,ShipTo,State,SC,,,,,,,,,,,,,4.32,0.06,Tax,Sales and Use Tax,Taxable,0.0,71.95
111-8263501-7677044,2024-08-07+00:00,GfrPqDnMt,2024-08-09+00:00,2024-08-07+18:55:40,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B004TLT1M4,9G-G0I5-R3KO,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,71.95,0.0,71.95,,,OUR_PRICE,SAN DIEGO,CA,US,92154-5722,50730000.0,CHARLESTON,SC,US,29412-2024,410190000.0,410190000.0,ShipTo,City,NOT APPLICABLE,,,,,,,,,,,,,0.0,0.0,Tax,,ZeroRated,71.95,0.0
111-8263501-7677044,2024-08-07+00:00,GfrPqDnMt,2024-08-09+00:00,2024-08-07+18:55:40,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B004TLT1M4,9G-G0I5-R3KO,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,71.95,0.0,71.95,,,OUR_PRICE,SAN DIEGO,CA,US,92154-5722,50730000.0,CHARLESTON,SC,US,29412-2024,410190000.0,410190000.0,ShipTo,County,CHARLESTON,,,,,,,,,,,,,2.16,0.03,Tax,Local Sales and Use Tax,Taxable,0.0,71.95
111-8263501-7677044,2024-08-07+00:00,GfrPqDnMt,2024-08-09+00:00,2024-08-07+18:55:40,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B004TLT1M4,9G-G0I5-R3KO,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,71.95,0.0,71.95,,,OUR_PRICE,SAN DIEGO,CA,US,92154-5722,50730000.0,CHARLESTON,SC,US,29412-2024,410190000.0,410190000.0,ShipTo,District,NOT APPLICABLE,,,,,,,,,,,,,0.0,0.0,Tax,,ZeroRated,71.95,0.0
114-8601596-9484246,2024-08-08+00:00,Gkrp3Yzlt,2024-08-09+00:00,2024-08-09+07:15:47,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B08R5TFQDG,GlycanAid HA-300,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,154.95,0.0,154.95,0.0,13.02,OUR_PRICE,TUCSON,AZ,US,85756-9287,30190310.0,LEAVENWORTH,WA,US,98826-9538,480070000.0,480070000.0,ShipTo,State,WA,,,,,,,,,,,,,10.08,0.065,Tax,Retail Sales and Use Tax,Taxable,0.0,154.95
114-8601596-9484246,2024-08-08+00:00,Gkrp3Yzlt,2024-08-09+00:00,2024-08-09+07:15:47,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B08R5TFQDG,GlycanAid HA-300,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,154.95,0.0,154.95,,,OUR_PRICE,TUCSON,AZ,US,85756-9287,30190310.0,LEAVENWORTH,WA,US,98826-9538,480070000.0,480070000.0,ShipTo,City,NOT APPLICABLE,,,,,,,,,,,,,0.0,0.0,Tax,,ZeroRated,154.95,0.0
114-8601596-9484246,2024-08-08+00:00,Gkrp3Yzlt,2024-08-09+00:00,2024-08-09+07:15:47,2024-08-09+00:00,Amazon.com,A315CZC3OZG9MC,AFN,B08R5TFQDG,GlycanAid HA-300,SHIPMENT,MarketplaceFacilitator,Amazon,,1.0,USD,,,,154.95,0.0,154.95,,,OUR_PRICE,TUCSON,AZ,US,85756-9287,30190310.0,LEAVENWORTH,WA,US,98826-9538,480070000.0,480070000.0,ShipTo,County,CHELAN,,,,,,,,,,,,,2.79,0.018,Tax,Local Sales and Use Tax,Taxable,0.0,154.95
